"y","domain","topic","var","coef","coef_lower","coef_upper","p_value"
"T01","Social context","Demographics","AGE",-0.055677711588622,-0.0786704486685129,-0.0293052058222288,0
"T01","Social context","Demographics","STUDY_ID",0,0,0,1
"T01","Social context","Demographics","SEX_FAC_2",0.709591581378013,0.382110220819446,1.01295181396459,0
"T01","Social context","Demographics","BSBP_GROUP_bsbp1",0,-0.135154840562531,0.215801797492355,0.58
"T01","Social context","Demographics","BSBP_GROUP_bsbp2",-0.0195851857935395,-0.512798210960066,0,0.47
"T01","Social context","Demographics","RACE_FAC_3",-1.25242906720834,-1.82923705645323,-0.49159182063212,0
"T01","Social context","Demographics","BSBP_GROUP_bsbp3",0,-0.509169955385417,0.191785733135894,0.57
"T01","Social context","Demographics","ETHN_FAC_1",-2.17017871784279,-3.09972902258815,-1.05855633477189,0
"T01","Social context","Demographics","RACE_FAC_2",-1.56810836756217,-3.49913073696429,-0.058208655794416,0.02
"T01","Social context","Demographics","RACE_FAC_1",-1.00463193219587,-2.15482538389062,0,0.28
"T01","Social context","Demographics","ETHN_FAC_0",0,-0.349058589731418,0.616236556336083,0.76
"T01","Social context","Demographics","RACE_FAC_0",0,-0.764978714162534,0,0.61
"T01","Social context","Demographics","SITE_Utah",0.951772492344866,0.619958140735042,1.27633016014599,0
"T01","Social context","Demographics","RACE_FAC_6",0,0,0.734210689788942,0.84
"T01","Social context","Demographics","ACS_AVG_HH_SIZE",0,0,0,0.97
"T01","Social context","Demographics","ACS_MEDIAN_AGE",0,0,0.0113014215414296,0.94
"T01","Social context","Demographics","ACS_MEDIAN_AGE_FEMALE",0,-0.00614586244994415,0,0.94
"T01","Social context","Demographics","ACS_MEDIAN_AGE_MALE",0.024975390584582,0,0.0416324038176072,0.14
"T01","Social context","Demographics","ACS_PCT_AGE_0_17",0,-0.00544953843285939,0,0.94
"T01","Social context","Demographics","ACS_PCT_AGE_0_4",-0.0129544463216416,-0.0638864950978669,0.00274032935885538,0.3
"T01","Social context","Demographics","ACS_PCT_AGE_10_14",0,0,0.0330782537015136,0.83
"T01","Social context","Demographics","ACS_PCT_AGE_15_17",0,-0.0690504248598676,0.00917864301306183,0.58
"T01","Social context","Demographics","ACS_PCT_AGE_18_29",0,-0.00615567936098261,0,0.91
"T01","Social context","Demographics","ACS_PCT_AGE_18_44",0,-0.00654131151119771,0,0.91
"T01","Social context","Demographics","ACS_PCT_AGE_30_44",0,-0.021786585985443,0,0.73
"T01","Social context","Demographics","ACS_PCT_AGE_45_64",0,0,0.0120774228622025,0.84
"T01","Social context","Demographics","ACS_PCT_AGE_5_9",0,-0.00200640074748863,0.0253514139153412,0.82
"T01","Social context","Demographics","ACS_PCT_AGE_50_64",0,0,0.013955583300533,0.91
"T01","Social context","Demographics","ACS_PCT_AGE_ABOVE65",0,0,0.0214993627784877,0.79
"T01","Social context","Demographics","ACS_PCT_AGE_ABOVE80",0,-0.00435061750420017,0.0178385443731304,0.83
"T01","Social context","Demographics","ACS_PCT_AIAN",0,0,0.0966983858473752,0.75
"T01","Social context","Demographics","ACS_PCT_AIAN_COMB",0,-0.0116825320486148,0.0663606990837568,0.64
"T01","Social context","Demographics","ACS_PCT_AIAN_NONHISP",0,0,0.03129721420986,0.92
"T01","Social context","Demographics","ACS_PCT_API_LANG",0,0,0.0280424364638978,0.77
"T01","Social context","Demographics","ACS_PCT_ASIAN",0,0,0,0.98
"T01","Social context","Demographics","ACS_PCT_ASIAN_COMB",0.00667162530604227,0,0.0258739854744232,0.53
"T01","Social context","Demographics","ACS_PCT_ASIAN_FEMALE",0,-0.00529903311937369,6.9227424844282e-05,0.66
"T01","Social context","Demographics","ACS_PCT_ASIAN_MALE",0,0,2.00091714685474e-06,0.89
"T01","Social context","Demographics","ACS_PCT_ASIAN_NONHISP",0,0,0,0.98
"T01","Social context","Demographics","ACS_PCT_BLACK",0,0,0,1
"T01","Social context","Demographics","ACS_PCT_BLACK_COMB",0,-0.00492806403000298,0,0.92
"T01","Social context","Demographics","ACS_PCT_BLACK_FEMALE",0,-0.00218017310486278,0,0.78
"T01","Social context","Demographics","ACS_PCT_BLACK_MALE",0,0,2.36239847153311e-06,0.95
"T01","Social context","Demographics","ACS_PCT_BLACK_NONHISP",0,0,0,1
"T01","Social context","Demographics","ACS_PCT_DIVORCED_F",0,-0.00703736470581155,0.00650434498493106,0.79
"T01","Social context","Demographics","ACS_PCT_DIVORCED_M",0,-0.0113143881357412,0.00849768323310973,0.76
"T01","Social context","Demographics","ACS_PCT_ENGL_NOT_ALL",0,-0.0339996471170275,0.128621018541575,0.74
"T01","Social context","Demographics","ACS_PCT_ENGL_NOT_WELL",0,-0.0997041376910815,0,0.7
"T01","Social context","Demographics","ACS_PCT_ENGL_VERY_WELL",0,-0.000689633612557738,0,0.94
"T01","Social context","Demographics","ACS_PCT_ENGL_WELL",0,-0.0211389957198829,0,0.88
"T01","Social context","Demographics","ACS_PCT_ENGLISH",0,0,0,1
"T01","Social context","Demographics","ACS_PCT_FEMALE",0.00035533181189851,0,0.0390378629867066,0.44
"T01","Social context","Demographics","ACS_PCT_GULFWAR_1990_2001",-0.0063096639244484,-0.014104835735262,0,0.17
"T01","Social context","Demographics","ACS_PCT_GULFWAR_2001",0,-0.00525605455390935,0.00659450327539807,0.7
"T01","Social context","Demographics","ACS_PCT_GULFWAR_VIETNAM",-0.00515695977699177,-0.0162111347962952,0,0.3
"T01","Social context","Demographics","ACS_PCT_HH_LIMIT_ENGLISH",-0.034528327581597,-0.0950683776012576,0,0.28
"T01","Social context","Demographics","ACS_PCT_HISP_FEMALE",0,-0.00388170482477554,0.00197004628120608,0.73
"T01","Social context","Demographics","ACS_PCT_HISP_MALE",0,-3.60581064846497e-07,2.15326896009119e-05,0.83
"T01","Social context","Demographics","ACS_PCT_HISPANIC",-0.000822289544678317,-0.0119358251217557,0,0.66
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_AIAN",0,0,0.126503346384672,0.75
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_ASIAN",0,0,0.0381988949179875,0.78
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_BLACK",0,-0.0172441340128225,0,0.63
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_MULT",0,-0.0307139735212028,0.00784705358301732,0.79
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_NHPI",0,0,0.0283303307939435,0.95
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_OTHER",0,0,0.0153344660982745,0.82
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_WHITE",0,0,0,1
"T01","Social context","Demographics","ACS_PCT_MALE",-4.01929807521297e-06,-0.00134618409187693,0,0.6
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_AB_F",0,-0.0645744806870773,0,0.49
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_AB_M",0,-0.044842355667944,0,0.74
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_PR_F",0,-0.000677557169528647,0,0.97
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_PR_M",0,0,0,0.98
"T01","Social context","Demographics","ACS_PCT_MULT_RACE",0,-0.00111767890183041,0.0140459490616273,0.87
"T01","Social context","Demographics","ACS_PCT_MULT_RACE_FEMALE",-0.000124486598789882,-0.0065714451396166,0,0.49
"T01","Social context","Demographics","ACS_PCT_MULT_RACE_MALE",7.99494762002656e-07,0,6.05194411537926e-06,0.65
"T01","Social context","Demographics","ACS_PCT_MULT_RACE_NONHISP",0,-0.00423808691898441,0.0501658136008543,0.68
"T01","Social context","Demographics","ACS_PCT_NHPI",0.00615755742359584,0,0.139252845258404,0.65
"T01","Social context","Demographics","ACS_PCT_NHPI_COMB",0,0,0.0578554140232758,0.86
"T01","Social context","Demographics","ACS_PCT_NHPI_NONHISP",0,0,0.0815546189476346,0.86
"T01","Social context","Demographics","ACS_PCT_NVR_MARRIED_F",0,0,0.00536707857189244,0.9
"T01","Social context","Demographics","ACS_PCT_NVR_MARRIED_M",0,-0.00461150825796822,0,0.84
"T01","Social context","Demographics","ACS_PCT_OTH_EURP",0,-0.0488535042914843,0,0.63
"T01","Social context","Demographics","ACS_PCT_OTH_LANG",0,-0.0190131862072369,0.0152843887510813,0.81
"T01","Social context","Demographics","ACS_PCT_OTHER_NONHISP",0,-0.0208503298308966,0.0961582035359415,0.64
"T01","Social context","Demographics","ACS_PCT_OTHER_RACE",0,0,0.0104430480817551,0.93
"T01","Social context","Demographics","ACS_PCT_POP_SAME_SEX_SPOUSE",0,0,0.317262803276112,0.56
"T01","Social context","Demographics","ACS_PCT_POP_SAME_SEX_UNMRD_P",0,-0.361118699399386,0,0.52
"T01","Social context","Demographics","ACS_PCT_SPANISH",0,-0.00592444108930287,0,0.95
"T01","Social context","Demographics","ACS_PCT_VET",-0.0690799082520488,-0.120921857550257,-7.95460128505134e-05,0.03
"T01","Social context","Demographics","ACS_PCT_VIETNAM",0,0,0.00819404635339846,0.69
"T01","Social context","Demographics","ACS_PCT_WHITE",0,0,0,0.98
"T01","Social context","Demographics","ACS_PCT_WHITE_COMB",0,-0.000390445128137411,0,0.97
"T01","Social context","Demographics","ACS_PCT_WHITE_FEMALE",0,-0.00761911409436394,0.0160865619380939,0.81
"T01","Social context","Demographics","ACS_PCT_WHITE_MALE",0,-3.13217986552287e-16,3.39561300139095e-16,0.87
"T01","Social context","Demographics","ACS_PCT_WHITE_NONHISP",0,0,0.000305548354599912,0.96
"T01","Social context","Demographics","ACS_PCT_WIDOWED_F",0,-0.0159312002186575,0.00527666647922325,0.76
"T01","Social context","Demographics","ACS_PCT_WIDOWED_M",0,0,0.0760486216578911,0.6
"T01","Social context","Demographics","ACS_TOT_CIVIL_NONINST_POP",0,0,0,0.98
"T01","Social context","Demographics","ACS_TOT_CIVIL_POP_ABOVE18",0,0,0.000143315928691648,0.8
"T01","Social context","Demographics","ACS_TOT_CIVIL_VET_POP",0,0,0,1
"T01","Social context","Demographics","ACS_TOT_CIVIL_VET_POP_ABOVE25",0,0,0,0.99
"T01","Social context","Demographics","ACS_TOT_HH",0.000144212278917639,0,0.000400042789754808,0.59
"T01","Social context","Demographics","ACS_TOT_OWN_CHILD_BELOW17",0,0,0,0.99
"T01","Social context","Demographics","ACS_TOT_POP_16_19",0,0,0.000437532142483406,0.9
"T01","Social context","Demographics","ACS_TOT_POP_ABOVE15",0,0,0,1
"T01","Social context","Demographics","ACS_TOT_POP_ABOVE16",0,0,0,0.99
"T01","Social context","Demographics","ACS_TOT_POP_ABOVE25",4.45150958579354e-05,0,0.000249565719603996,0.62
"T01","Social context","Demographics","ACS_TOT_POP_ABOVE5",0,0,0,0.99
"T01","Social context","Demographics","ACS_TOT_POP_US_ABOVE1",0,0,0,0.98
