RXCUI,DrugName,Type,Class,Group
1806885,Qbrelis,BN,lisinopril,ACEI
196472,Zestril,BN,lisinopril,ACEI
203644,Prinivil,BN,lisinopril,ACEI
85783,Zestoretic,BN,lisinopril,ACEI
316968,Oral Solution,DF,lisinopril,ACEI
317541,Oral Tablet,DF,lisinopril,ACEI
1151131,Oral Product,DFG,lisinopril,ACEI
1151133,Pill,DFG,lisinopril,ACEI
1151137,Oral Liquid Product,DFG,lisinopril,ACEI
29046,lisinopril,IN,lisinopril,ACEI
214618,hydrochlorothiazide / lisinopril,MIN,lisinopril,ACEI
1546022,lisinopril anhydrous,PIN,lisinopril,ACEI
104375,lisinopril 2.5 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
104376,lisinopril 5 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
104377,lisinopril 10 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
104378,lisinopril 20 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
1806890,lisinopril 1 MG/ML Oral Solution [Qbrelis],SBD,lisinopril,ACEI
206765,lisinopril 10 MG Oral Tablet [Prinivil],SBD,lisinopril,ACEI
206766,lisinopril 20 MG Oral Tablet [Prinivil],SBD,lisinopril,ACEI
206771,lisinopril 40 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
213482,lisinopril 30 MG Oral Tablet [Zestril],SBD,lisinopril,ACEI
823971,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD,lisinopril,ACEI
823982,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet [Zestoretic],SBD,lisinopril,ACEI
823986,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet [Zestoretic],SBD,lisinopril,ACEI
1806886,lisinopril 1 MG/ML [Qbrelis],SBDC,lisinopril,ACEI
563609,lisinopril 2.5 MG [Zestril],SBDC,lisinopril,ACEI
563610,lisinopril 5 MG [Zestril],SBDC,lisinopril,ACEI
563611,lisinopril 10 MG [Zestril],SBDC,lisinopril,ACEI
563612,lisinopril 20 MG [Zestril],SBDC,lisinopril,ACEI
567576,lisinopril 10 MG [Prinivil],SBDC,lisinopril,ACEI
567577,lisinopril 20 MG [Prinivil],SBDC,lisinopril,ACEI
567582,lisinopril 40 MG [Zestril],SBDC,lisinopril,ACEI
573370,lisinopril 30 MG [Zestril],SBDC,lisinopril,ACEI
823969,hydrochlorothiazide 25 MG / lisinopril 20 MG [Zestoretic],SBDC,lisinopril,ACEI
823980,hydrochlorothiazide 12.5 MG / lisinopril 20 MG [Zestoretic],SBDC,lisinopril,ACEI
823984,hydrochlorothiazide 12.5 MG / lisinopril 10 MG [Zestoretic],SBDC,lisinopril,ACEI
1806887,lisinopril Oral Solution [Qbrelis],SBDF,lisinopril,ACEI
368248,lisinopril Oral Tablet [Zestril],SBDF,lisinopril,ACEI
368865,lisinopril Oral Tablet [Prinivil],SBDF,lisinopril,ACEI
823970,hydrochlorothiazide / lisinopril Oral Tablet [Zestoretic],SBDF,lisinopril,ACEI
1178275,Prinivil Oral Product,SBDG,lisinopril,ACEI
1178276,Prinivil Pill,SBDG,lisinopril,ACEI
1187277,Zestoretic Oral Product,SBDG,lisinopril,ACEI
1187278,Zestoretic Pill,SBDG,lisinopril,ACEI
1187283,Zestril Oral Product,SBDG,lisinopril,ACEI
1187284,Zestril Pill,SBDG,lisinopril,ACEI
1806888,Qbrelis Oral Liquid Product,SBDG,lisinopril,ACEI
1806889,Qbrelis Oral Product,SBDG,lisinopril,ACEI
1806884,lisinopril 1 MG/ML Oral Solution,SCD,lisinopril,ACEI
197884,lisinopril 40 MG Oral Tablet,SCD,lisinopril,ACEI
197885,hydrochlorothiazide 12.5 MG / lisinopril 10 MG Oral Tablet,SCD,lisinopril,ACEI
197886,hydrochlorothiazide 12.5 MG / lisinopril 20 MG Oral Tablet,SCD,lisinopril,ACEI
197887,hydrochlorothiazide 25 MG / lisinopril 20 MG Oral Tablet,SCD,lisinopril,ACEI
205326,lisinopril 30 MG Oral Tablet,SCD,lisinopril,ACEI
311353,lisinopril 2.5 MG Oral Tablet,SCD,lisinopril,ACEI
311354,lisinopril 5 MG Oral Tablet,SCD,lisinopril,ACEI
314076,lisinopril 10 MG Oral Tablet,SCD,lisinopril,ACEI
314077,lisinopril 20 MG Oral Tablet,SCD,lisinopril,ACEI
1806881,lisinopril 1 MG/ML,SCDC,lisinopril,ACEI
316151,lisinopril 10 MG,SCDC,lisinopril,ACEI
316152,lisinopril 2.5 MG,SCDC,lisinopril,ACEI
316153,lisinopril 20 MG,SCDC,lisinopril,ACEI
316154,lisinopril 30 MG,SCDC,lisinopril,ACEI
316155,lisinopril 40 MG,SCDC,lisinopril,ACEI
316156,lisinopril 5 MG,SCDC,lisinopril,ACEI
1806883,lisinopril Oral Solution,SCDF,lisinopril,ACEI
372613,hydrochlorothiazide / lisinopril Oral Tablet,SCDF,lisinopril,ACEI
372614,lisinopril Oral Tablet,SCDF,lisinopril,ACEI
1162124,hydrochlorothiazide / lisinopril Oral Product,SCDG,lisinopril,ACEI
1162125,hydrochlorothiazide / lisinopril Pill,SCDG,lisinopril,ACEI
1164689,lisinopril Oral Product,SCDG,lisinopril,ACEI
1164690,lisinopril Pill,SCDG,lisinopril,ACEI
1806882,lisinopril Oral Liquid Product,SCDG,lisinopril,ACEI
262418,Altace,BN,ramipril,ACEI
316965,Oral Capsule,DF,ramipril,ACEI
35296,ramipril,IN,ramipril,ACEI
1006994,piretanide / ramipril,MIN,ramipril,ACEI
389179,felodipine / ramipril,MIN,ramipril,ACEI
818284,hydrochlorothiazide / ramipril,MIN,ramipril,ACEI
104384,ramipril 2.5 MG Oral Capsule [Altace],SBD,ramipril,ACEI
104385,ramipril 5 MG Oral Capsule [Altace],SBD,ramipril,ACEI
260333,ramipril 10 MG Oral Capsule [Altace],SBD,ramipril,ACEI
845489,ramipril 1.25 MG Oral Capsule [Altace],SBD,ramipril,ACEI
568143,ramipril 1.25 MG [Altace],SBDC,ramipril,ACEI
568144,ramipril 2.5 MG [Altace],SBDC,ramipril,ACEI
568145,ramipril 5 MG [Altace],SBDC,ramipril,ACEI
574127,ramipril 10 MG [Altace],SBDC,ramipril,ACEI
380864,ramipril Oral Capsule [Altace],SBDF,ramipril,ACEI
1169224,Altace Oral Product,SBDG,ramipril,ACEI
1169225,Altace Pill,SBDG,ramipril,ACEI
198188,ramipril 2.5 MG Oral Capsule,SCD,ramipril,ACEI
198189,ramipril 5 MG Oral Capsule,SCD,ramipril,ACEI
251856,ramipril 2.5 MG Oral Tablet,SCD,ramipril,ACEI
251857,ramipril 5 MG Oral Tablet,SCD,ramipril,ACEI
261962,ramipril 10 MG Oral Capsule,SCD,ramipril,ACEI
389180,felodipine 2.5 MG / ramipril 2.5 MG Oral Tablet,SCD,ramipril,ACEI
389181,felodipine 5 MG / ramipril 5 MG Oral Tablet,SCD,ramipril,ACEI
401965,ramipril 1.25 MG Oral Tablet,SCD,ramipril,ACEI
401968,ramipril 10 MG Oral Tablet,SCD,ramipril,ACEI
845488,ramipril 1.25 MG Oral Capsule,SCD,ramipril,ACEI
316626,ramipril 1.25 MG,SCDC,ramipril,ACEI
316627,ramipril 10 MG,SCDC,ramipril,ACEI
316628,ramipril 2.5 MG,SCDC,ramipril,ACEI
317482,ramipril 5 MG,SCDC,ramipril,ACEI
373748,ramipril Oral Capsule,SCDF,ramipril,ACEI
373749,ramipril Oral Tablet,SCDF,ramipril,ACEI
393440,felodipine / ramipril Oral Tablet,SCDF,ramipril,ACEI
1159026,felodipine / ramipril Oral Product,SCDG,ramipril,ACEI
1159027,felodipine / ramipril Pill,SCDG,ramipril,ACEI
1164809,ramipril Oral Product,SCDG,ramipril,ACEI
1164810,ramipril Pill,SCDG,ramipril,ACEI
1600717,Prestalia,BN,perindopril,ACEI
261438,Aceon,BN,perindopril,ACEI
54552,perindopril,IN,perindopril,ACEI
1033889,amlodipine / perindopril,MIN,perindopril,ACEI
388499,indapamide / perindopril,MIN,perindopril,ACEI
1600711,perindopril arginine,PIN,perindopril,ACEI
72260,perindopril erbumine,PIN,perindopril,ACEI
1600722,amlodipine 10 MG / perindopril arginine 14 MG Oral Tablet [Prestalia],SBD,perindopril,ACEI
1600726,amlodipine 2.5 MG / perindopril arginine 3.5 MG Oral Tablet [Prestalia],SBD,perindopril,ACEI
1600730,amlodipine 5 MG / perindopril arginine 7 MG Oral Tablet [Prestalia],SBD,perindopril,ACEI
854927,perindopril erbumine 8 MG Oral Tablet [Aceon],SBD,perindopril,ACEI
854986,perindopril erbumine 2 MG Oral Tablet [Aceon],SBD,perindopril,ACEI
854990,perindopril erbumine 4 MG Oral Tablet [Aceon],SBD,perindopril,ACEI
1600718,amlodipine 10 MG / perindopril arginine 14 MG [Prestalia],SBDC,perindopril,ACEI
1600725,amlodipine 2.5 MG / perindopril arginine 3.5 MG [Prestalia],SBDC,perindopril,ACEI
1600729,amlodipine 5 MG / perindopril arginine 7 MG [Prestalia],SBDC,perindopril,ACEI
854926,perindopril erbumine 8 MG [Aceon],SBDC,perindopril,ACEI
854985,perindopril erbumine 2 MG [Aceon],SBDC,perindopril,ACEI
854989,perindopril erbumine 4 MG [Aceon],SBDC,perindopril,ACEI
1600719,amlodipine / perindopril Oral Tablet [Prestalia],SBDF,perindopril,ACEI
368233,perindopril Oral Tablet [Aceon],SBDF,perindopril,ACEI
2655234,amlodipine / perindopril arginine Oral Tablet [Prestalia],SBDFP,perindopril,ACEI
2656718,perindopril erbumine Oral Tablet [Aceon],SBDFP,perindopril,ACEI
1168400,Aceon Oral Product,SBDG,perindopril,ACEI
1168401,Aceon Pill,SBDG,perindopril,ACEI
1600720,Prestalia Oral Product,SBDG,perindopril,ACEI
1600721,Prestalia Pill,SBDG,perindopril,ACEI
1600716,amlodipine 10 MG / perindopril arginine 14 MG Oral Tablet,SCD,perindopril,ACEI
1600724,amlodipine 2.5 MG / perindopril arginine 3.5 MG Oral Tablet,SCD,perindopril,ACEI
1600728,amlodipine 5 MG / perindopril arginine 7 MG Oral Tablet,SCD,perindopril,ACEI
854925,perindopril erbumine 8 MG Oral Tablet,SCD,perindopril,ACEI
854984,perindopril erbumine 2 MG Oral Tablet,SCD,perindopril,ACEI
854988,perindopril erbumine 4 MG Oral Tablet,SCD,perindopril,ACEI
854993,indapamide 1.25 MG / perindopril erbumine 4 MG Oral Tablet,SCD,perindopril,ACEI
1600712,perindopril arginine 14 MG,SCDC,perindopril,ACEI
1600723,perindopril arginine 3.5 MG,SCDC,perindopril,ACEI
1600727,perindopril arginine 7 MG,SCDC,perindopril,ACEI
854923,perindopril erbumine 8 MG,SCDC,perindopril,ACEI
854983,perindopril erbumine 2 MG,SCDC,perindopril,ACEI
854987,perindopril erbumine 4 MG,SCDC,perindopril,ACEI
1600715,amlodipine / perindopril Oral Tablet,SCDF,perindopril,ACEI
373293,perindopril Oral Tablet,SCDF,perindopril,ACEI
393357,indapamide / perindopril Oral Tablet,SCDF,perindopril,ACEI
1156300,indapamide / perindopril Oral Product,SCDG,perindopril,ACEI
1156301,indapamide / perindopril Pill,SCDG,perindopril,ACEI
1165430,perindopril Oral Product,SCDG,perindopril,ACEI
1165431,perindopril Pill,SCDG,perindopril,ACEI
1600713,amlodipine / perindopril Oral Product,SCDG,perindopril,ACEI
1600714,amlodipine / perindopril Pill,SCDG,perindopril,ACEI
1435625,Epaned,BN,enalapril,ACEI
175128,Vaseretic,BN,enalapril,ACEI
224921,Vasotec,BN,enalapril,ACEI
316945,Extended Release Oral Tablet,DF,enalapril,ACEI
316949,Injectable Solution,DF,enalapril,ACEI
1151126,Injectable Product,DFG,enalapril,ACEI
3827,enalapril,IN,enalapril,ACEI
214507,diltiazem / enalapril,MIN,enalapril,ACEI
214535,enalapril / felodipine,MIN,enalapril,ACEI
214536,enalapril / hydrochlorothiazide,MIN,enalapril,ACEI
203123,enalapril maleate,PIN,enalapril,ACEI
1435630,enalapril maleate 1 MG/ML Oral Solution [Epaned],SBD,enalapril,ACEI
858806,enalapril maleate 2.5 MG Oral Tablet [Vasotec],SBD,enalapril,ACEI
858812,enalapril maleate 20 MG Oral Tablet [Vasotec],SBD,enalapril,ACEI
858815,enalapril maleate 5 MG Oral Tablet [Vasotec],SBD,enalapril,ACEI
858819,enalapril maleate 10 MG Oral Tablet [Vasotec],SBD,enalapril,ACEI
858830,enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet [Vaseretic],SBD,enalapril,ACEI
1435626,enalapril maleate 1 MG/ML [Epaned],SBDC,enalapril,ACEI
858805,enalapril maleate 2.5 MG [Vasotec],SBDC,enalapril,ACEI
858811,enalapril maleate 20 MG [Vasotec],SBDC,enalapril,ACEI
858814,enalapril maleate 5 MG [Vasotec],SBDC,enalapril,ACEI
858818,enalapril maleate 10 MG [Vasotec],SBDC,enalapril,ACEI
858829,enalapril maleate 10 MG / hydrochlorothiazide 25 MG [Vaseretic],SBDC,enalapril,ACEI
1435627,enalapril Oral Solution [Epaned],SBDF,enalapril,ACEI
369505,enalapril Oral Tablet [Vasotec],SBDF,enalapril,ACEI
858826,enalapril / hydrochlorothiazide Oral Tablet [Vaseretic],SBDF,enalapril,ACEI
2655646,enalapril maleate Oral Tablet [Vasotec],SBDFP,enalapril,ACEI
2657019,enalapril maleate / hydrochlorothiazide Oral Tablet [Vaseretic],SBDFP,enalapril,ACEI
2658821,enalapril maleate Oral Solution [Epaned],SBDFP,enalapril,ACEI
1187581,Vaseretic Oral Product,SBDG,enalapril,ACEI
1187582,Vaseretic Pill,SBDG,enalapril,ACEI
1187734,Vasotec Oral Product,SBDG,enalapril,ACEI
1187735,Vasotec Pill,SBDG,enalapril,ACEI
1435628,Epaned Oral Liquid Product,SBDG,enalapril,ACEI
1435629,Epaned Oral Product,SBDG,enalapril,ACEI
1435624,enalapril maleate 1 MG/ML Oral Solution,SCD,enalapril,ACEI
833237,diltiazem hydrochloride 180 MG / enalapril maleate 5 MG Extended Release Oral Tablet,SCD,enalapril,ACEI
858804,enalapril maleate 2.5 MG Oral Tablet,SCD,enalapril,ACEI
858810,enalapril maleate 20 MG Oral Tablet,SCD,enalapril,ACEI
858813,enalapril maleate 5 MG Oral Tablet,SCD,enalapril,ACEI
858817,enalapril maleate 10 MG Oral Tablet,SCD,enalapril,ACEI
858821,enalapril maleate 1.25 MG/ML Injectable Solution,SCD,enalapril,ACEI
858824,enalapril maleate 5 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,enalapril,ACEI
858828,enalapril maleate 10 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,enalapril,ACEI
858921,enalapril maleate 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,enalapril,ACEI
1435621,enalapril maleate 1 MG/ML,SCDC,enalapril,ACEI
833236,enalapril maleate 5 MG,SCDC,enalapril,ACEI
858803,enalapril maleate 2.5 MG,SCDC,enalapril,ACEI
858809,enalapril maleate 20 MG,SCDC,enalapril,ACEI
858816,enalapril maleate 10 MG,SCDC,enalapril,ACEI
858820,enalapril maleate 1.25 MG/ML,SCDC,enalapril,ACEI
1435623,enalapril Oral Solution,SCDF,enalapril,ACEI
372006,enalapril / hydrochlorothiazide Oral Tablet,SCDF,enalapril,ACEI
372007,enalapril Oral Tablet,SCDF,enalapril,ACEI
372008,diltiazem / enalapril Extended Release Oral Tablet,SCDF,enalapril,ACEI
378288,enalapril Injectable Solution,SCDF,enalapril,ACEI
1151883,diltiazem / enalapril Oral Product,SCDG,enalapril,ACEI
1151884,diltiazem / enalapril Pill,SCDG,enalapril,ACEI
1162647,enalapril / felodipine Oral Product,SCDG,enalapril,ACEI
1162649,enalapril / hydrochlorothiazide Oral Product,SCDG,enalapril,ACEI
1162650,enalapril / hydrochlorothiazide Pill,SCDG,enalapril,ACEI
1162651,enalapril Injectable Product,SCDG,enalapril,ACEI
1162652,enalapril Oral Product,SCDG,enalapril,ACEI
1162653,enalapril Pill,SCDG,enalapril,ACEI
1435622,enalapril Oral Liquid Product,SCDG,enalapril,ACEI
218088,Lotensin,BN,benazepril,ACEI
218089,Lotensin HCT,BN,benazepril,ACEI
218090,Lotrel,BN,benazepril,ACEI
2566854,Cardalis,BN,benazepril,ACEI
91058,Chewable Tablet,DF,benazepril,ACEI
1294716,Chewable Product,DFG,benazepril,ACEI
18867,benazepril,IN,benazepril,ACEI
214223,amlodipine / benazepril,MIN,benazepril,ACEI
214287,benazepril / hydrochlorothiazide,MIN,benazepril,ACEI
2566848,benazepril / spironolactone,MIN,benazepril,ACEI
1546196,benazeprilat,PIN,benazepril,ACEI
235758,benazepril hydrochloride,PIN,benazepril,ACEI
2566860,benazepril hydrochloride 2.5 MG / spironolactone 20 MG Chewable Tablet [Cardalis],SBD,benazepril,ACEI
2566864,benazepril hydrochloride 5 MG / spironolactone 40 MG Chewable Tablet [Cardalis],SBD,benazepril,ACEI
2566868,benazepril hydrochloride 10 MG / spironolactone 80 MG Chewable Tablet [Cardalis],SBD,benazepril,ACEI
898344,amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule [Lotrel],SBD,benazepril,ACEI
898348,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule [Lotrel],SBD,benazepril,ACEI
898355,amlodipine 5 MG / benazepril hydrochloride 10 MG Oral Capsule [Lotrel],SBD,benazepril,ACEI
898358,amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule [Lotrel],SBD,benazepril,ACEI
898366,benazepril hydrochloride 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],SBD,benazepril,ACEI
898371,benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Lotensin HCT],SBD,benazepril,ACEI
898376,benazepril hydrochloride 20 MG / hydrochlorothiazide 25 MG Oral Tablet [Lotensin HCT],SBD,benazepril,ACEI
898689,benazepril hydrochloride 10 MG Oral Tablet [Lotensin],SBD,benazepril,ACEI
898692,benazepril hydrochloride 20 MG Oral Tablet [Lotensin],SBD,benazepril,ACEI
898721,benazepril hydrochloride 40 MG Oral Tablet [Lotensin],SBD,benazepril,ACEI
898725,benazepril hydrochloride 5 MG Oral Tablet [Lotensin],SBD,benazepril,ACEI
2566855,benazepril hydrochloride 2.5 MG [Cardalis],SBDC,benazepril,ACEI
2566863,benazepril hydrochloride 5 MG [Cardalis],SBDC,benazepril,ACEI
2566867,benazepril hydrochloride 10 MG [Cardalis],SBDC,benazepril,ACEI
898343,amlodipine 10 MG / benazepril hydrochloride 20 MG [Lotrel],SBDC,benazepril,ACEI
898347,amlodipine 10 MG / benazepril hydrochloride 40 MG [Lotrel],SBDC,benazepril,ACEI
898354,amlodipine 5 MG / benazepril hydrochloride 10 MG [Lotrel],SBDC,benazepril,ACEI
898357,amlodipine 5 MG / benazepril hydrochloride 20 MG [Lotrel],SBDC,benazepril,ACEI
898364,benazepril hydrochloride 10 MG / hydrochlorothiazide 12.5 MG [Lotensin HCT],SBDC,benazepril,ACEI
898369,benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG [Lotensin HCT],SBDC,benazepril,ACEI
898374,benazepril hydrochloride 20 MG / hydrochlorothiazide 25 MG [Lotensin HCT],SBDC,benazepril,ACEI
898688,benazepril hydrochloride 10 MG [Lotensin],SBDC,benazepril,ACEI
898691,benazepril hydrochloride 20 MG [Lotensin],SBDC,benazepril,ACEI
898720,benazepril hydrochloride 40 MG [Lotensin],SBDC,benazepril,ACEI
898724,benazepril hydrochloride 5 MG [Lotensin],SBDC,benazepril,ACEI
2566859,benazepril / spironolactone Chewable Tablet [Cardalis],SBDF,benazepril,ACEI
368080,benazepril Oral Tablet [Lotensin],SBDF,benazepril,ACEI
744885,amlodipine / benazepril Oral Capsule [Lotrel],SBDF,benazepril,ACEI
898381,benazepril / hydrochlorothiazide Oral Tablet [Lotensin HCT],SBDF,benazepril,ACEI
2654956,benazepril hydrochloride / hydrochlorothiazide Oral Tablet [Lotensin HCT],SBDFP,benazepril,ACEI
2655487,amlodipine / benazepril hydrochloride Oral Capsule [Lotrel],SBDFP,benazepril,ACEI
2656264,benazepril hydrochloride / spironolactone Chewable Tablet [Cardalis],SBDFP,benazepril,ACEI
2656365,benazepril hydrochloride Oral Tablet [Lotensin],SBDFP,benazepril,ACEI
1180897,Lotensin HCT Pill,SBDG,benazepril,ACEI
1180902,Lotensin HCT Oral Product,SBDG,benazepril,ACEI
1180904,Lotensin Oral Product,SBDG,benazepril,ACEI
1180905,Lotensin Pill,SBDG,benazepril,ACEI
1180906,Lotrel Oral Product,SBDG,benazepril,ACEI
1180909,Lotrel Pill,SBDG,benazepril,ACEI
2566856,Cardalis Oral Product,SBDG,benazepril,ACEI
2566857,Cardalis Pill,SBDG,benazepril,ACEI
2566858,Cardalis Chewable Product,SBDG,benazepril,ACEI
2566853,benazepril hydrochloride 2.5 MG / spironolactone 20 MG Chewable Tablet,SCD,benazepril,ACEI
2566862,benazepril hydrochloride 5 MG / spironolactone 40 MG Chewable Tablet,SCD,benazepril,ACEI
2566866,benazepril hydrochloride 10 MG / spironolactone 80 MG Chewable Tablet,SCD,benazepril,ACEI
898342,amlodipine 10 MG / benazepril hydrochloride 20 MG Oral Capsule,SCD,benazepril,ACEI
898346,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule,SCD,benazepril,ACEI
898350,amlodipine 2.5 MG / benazepril hydrochloride 10 MG Oral Capsule,SCD,benazepril,ACEI
898353,amlodipine 5 MG / benazepril hydrochloride 10 MG Oral Capsule,SCD,benazepril,ACEI
898356,amlodipine 5 MG / benazepril hydrochloride 20 MG Oral Capsule,SCD,benazepril,ACEI
898359,amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule,SCD,benazepril,ACEI
898362,benazepril hydrochloride 10 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,benazepril,ACEI
898367,benazepril hydrochloride 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet,SCD,benazepril,ACEI
898372,benazepril hydrochloride 20 MG / hydrochlorothiazide 25 MG Oral Tablet,SCD,benazepril,ACEI
898378,benazepril hydrochloride 5 MG / hydrochlorothiazide 6.25 MG Oral Tablet,SCD,benazepril,ACEI
898687,benazepril hydrochloride 10 MG Oral Tablet,SCD,benazepril,ACEI
898690,benazepril hydrochloride 20 MG Oral Tablet,SCD,benazepril,ACEI
898719,benazepril hydrochloride 40 MG Oral Tablet,SCD,benazepril,ACEI
898723,benazepril hydrochloride 5 MG Oral Tablet,SCD,benazepril,ACEI
2566846,benazepril hydrochloride 2.5 MG,SCDC,benazepril,ACEI
898341,benazepril hydrochloride 20 MG,SCDC,benazepril,ACEI
898345,benazepril hydrochloride 40 MG,SCDC,benazepril,ACEI
898349,benazepril hydrochloride 10 MG,SCDC,benazepril,ACEI
898377,benazepril hydrochloride 5 MG,SCDC,benazepril,ACEI
2566852,benazepril / spironolactone Chewable Tablet,SCDF,benazepril,ACEI
371000,benazepril / hydrochlorothiazide Oral Tablet,SCDF,benazepril,ACEI
371001,benazepril Oral Tablet,SCDF,benazepril,ACEI
371002,amlodipine / benazepril Oral Capsule,SCDF,benazepril,ACEI
1152283,amlodipine / benazepril Oral Product,SCDG,benazepril,ACEI
1152284,amlodipine / benazepril Pill,SCDG,benazepril,ACEI
1160005,benazepril / hydrochlorothiazide Oral Product,SCDG,benazepril,ACEI
1160006,benazepril / hydrochlorothiazide Pill,SCDG,benazepril,ACEI
1160007,benazepril Oral Product,SCDG,benazepril,ACEI
1160008,benazepril Pill,SCDG,benazepril,ACEI
2566849,benazepril / spironolactone Oral Product,SCDG,benazepril,ACEI
2566850,benazepril / spironolactone Pill,SCDG,benazepril,ACEI
2566851,benazepril / spironolactone Chewable Product,SCDG,benazepril,ACEI
151293,Accuretic,BN,quinapril,ACEI
72210,Accupril,BN,quinapril,ACEI
35208,quinapril,IN,quinapril,ACEI
261417,hydrochlorothiazide / quinapril,MIN,quinapril,ACEI
235759,quinapril hydrochloride,PIN,quinapril,ACEI
207891,quinapril 5 MG Oral Tablet [Accupril],SBD,quinapril,ACEI
207892,quinapril 10 MG Oral Tablet [Accupril],SBD,quinapril,ACEI
207893,quinapril 20 MG Oral Tablet [Accupril],SBD,quinapril,ACEI
207895,quinapril 40 MG Oral Tablet [Accupril],SBD,quinapril,ACEI
809854,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet [Accuretic],SBD,quinapril,ACEI
809858,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD,quinapril,ACEI
882559,hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet [Accuretic],SBD,quinapril,ACEI
568624,quinapril 5 MG [Accupril],SBDC,quinapril,ACEI
568625,quinapril 10 MG [Accupril],SBDC,quinapril,ACEI
568626,quinapril 20 MG [Accupril],SBDC,quinapril,ACEI
568627,quinapril 40 MG [Accupril],SBDC,quinapril,ACEI
809852,hydrochlorothiazide 12.5 MG / quinapril 10 MG [Accuretic],SBDC,quinapril,ACEI
809856,hydrochlorothiazide 12.5 MG / quinapril 20 MG [Accuretic],SBDC,quinapril,ACEI
882557,hydrochlorothiazide 25 MG / quinapril 20 MG [Accuretic],SBDC,quinapril,ACEI
369331,quinapril Oral Tablet [Accupril],SBDF,quinapril,ACEI
809853,hydrochlorothiazide / quinapril Oral Tablet [Accuretic],SBDF,quinapril,ACEI
1165996,Accupril Oral Product,SBDG,quinapril,ACEI
1165997,Accupril Pill,SBDG,quinapril,ACEI
1168391,Accuretic Oral Product,SBDG,quinapril,ACEI
1168392,Accuretic Pill,SBDG,quinapril,ACEI
310796,hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet,SCD,quinapril,ACEI
310797,hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet,SCD,quinapril,ACEI
