RxCUI,Drug_Class
103945,ACE
104375,ACE
104376,ACE
104377,ACE
104378,ACE
104382,ACE
104384,ACE
104385,ACE
104388,ACE
104389,ACE
106680,ACE
106681,ACE
106682,ACE
153275,ACE
153276,ACE
153277,ACE
153311,ACE
153312,ACE
153313,ACE
153460,ACE
153461,ACE
153462,ACE
197884,ACE
198188,ACE
198189,ACE
199351,ACE
199352,ACE
199353,ACE
199622,ACE
199707,ACE
199708,ACE
199709,ACE
199816,ACE
199817,ACE
199931,ACE
199937,ACE
201369,ACE
201370,ACE
201371,ACE
201372,ACE
201373,ACE
201374,ACE
201377,ACE
201378,ACE
201379,ACE
201380,ACE
201381,ACE
201382,ACE
204404,ACE
205326,ACE
206763,ACE
206764,ACE
206765,ACE
206766,ACE
206770,ACE
206771,ACE
207891,ACE
207892,ACE
207893,ACE
207895,ACE
210671,ACE
210672,ACE
210673,ACE
210994,ACE
213482,ACE
226700,ACE
226701,ACE
226702,ACE
226706,ACE
226707,ACE
226708,ACE
246264,ACE
246643,ACE
247516,ACE
250413,ACE
251856,ACE
251857,ACE
252820,ACE
260333,ACE
261962,ACE
284213,ACE
308962,ACE
308963,ACE
308964,ACE
311353,ACE
311354,ACE
312748,ACE
312749,ACE
312750,ACE
314076,ACE
314077,ACE
314203,ACE
317173,ACE
371001,ACE
371254,ACE
371506,ACE
372007,ACE
372274,ACE
372614,ACE
373293,ACE
373731,ACE
373748,ACE
373749,ACE
374176,ACE
374177,ACE
374378,ACE
374938,ACE
378269,ACE
378288,ACE
389182,ACE
389183,ACE
389184,ACE
393442,ACE
401965,ACE
401968,ACE
411434,ACE
413771,ACE
428809,ACE
428810,ACE
428811,ACE
428825,ACE
428826,ACE
451330,ACE
452698,ACE
541022,ACE
582032,ACE
582033,ACE
700490,ACE
730511,ACE
730512,ACE
730513,ACE
730514,ACE
844933,ACE
845488,ACE
845489,ACE
854925,ACE
854927,ACE
854984,ACE
854986,ACE
854988,ACE
854990,ACE
857169,ACE
857171,ACE
857183,ACE
857185,ACE
857187,ACE
857189,ACE
857195,ACE
858804,ACE
858806,ACE
858810,ACE
858812,ACE
858813,ACE
858815,ACE
858817,ACE
858819,ACE
858821,ACE
858823,ACE
858845,ACE
858926,ACE
898687,ACE
898689,ACE
898690,ACE
898692,ACE
898719,ACE
898721,ACE
898723,ACE
898725,ACE
3829,ACE
29046,ACE
35296,ACE
1299896,ACE
1299897,ACE
1299963,ACE
1299965,ACE
1435624,ACE
1435630,ACE
1729200,ACE
1729205,ACE
1806884,ACE
429765,ACE_loop
451173,ACE_loop
104227,aldo
104228,aldo
104229,aldo
104230,aldo
104231,aldo
104232,aldo
104233,aldo
104234,aldo
198222,aldo
198223,aldo
200815,aldo
200816,aldo
200817,aldo
200818,aldo
200819,aldo
200820,aldo
200821,aldo
200822,aldo
200823,aldo
200824,aldo
200825,aldo
200826,aldo
200827,aldo
201282,aldo
207867,aldo
313096,aldo
351256,aldo
351257,aldo
351258,aldo
373945,aldo
373946,aldo
378726,aldo
379251,aldo
402105,aldo
402106,aldo
402107,aldo
411223,aldo
411224,aldo
429194,aldo
9997,aldo
198224,aldo_diuretic
198225,aldo_diuretic
208112,aldo_diuretic
208113,aldo_diuretic
208116,aldo_diuretic
249762,aldo_diuretic
250376,aldo_diuretic
250377,aldo_diuretic
250704,aldo_diuretic
370639,aldo_diuretic
373947,aldo_diuretic
373948,aldo_diuretic
411480,aldo_diuretic
427928,aldo_diuretic
429195,aldo_diuretic
432662,aldo_diuretic
432663,aldo_diuretic
451922,aldo_diuretic
451927,aldo_diuretic
246399,aldo_loop
251564,aldo_loop
373944,aldo_loop
432646,aldo_loop
432647,aldo_loop
451932,aldo_loop
104359,alpha
104360,alpha
104361,alpha
104363,alpha
104364,alpha
104366,alpha
141893,alpha
141894,alpha
141895,alpha
141896,alpha
141897,alpha
150752,alpha
152660,alpha
152661,alpha
152662,alpha
152663,alpha
198141,alpha
199791,alpha
199796,alpha
199797,alpha
199798,alpha
199799,alpha
208467,alpha
208469,alpha
