"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"lidocaine",10,"MG",1013042,"LOCAL ANESTHETICS,INJECTION","CN204"
"methylprednisolone",80,"MG",1358619,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",100,"MG",208947,"GLUCOCORTICOIDS","HS051"
"heparin",10000,"UNT",1362831,"ANTICOAGULANTS","BL110"
"sodium chloride",9,"MG",313002,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"sodium chloride",9,"MG",313002,"SODIUM","TN440"
"lidocaine",20,"MG",1013096,"LOCAL ANESTHETICS,INJECTION","CN204"
"sodium bicarbonate",84,"MG",1868486,"BICARBONATES","TN476"
"iron sucrose",20,"MG",1741268,"IRON","TN410"
"propofol",10,"MG",1598999,NA,NA
"infliximab",100,"MG",213361,"IMMUNE SUPPRESSANTS","IM600"
"phenylephrine",10,"MG",1542385,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"lisinopril",20,"MG",201382,"ACE INHIBITORS","CV800"
"hydrochlorothiazide",25,"MG",207939,"THIAZIDES/RELATED DIURETICS","CV701"
"ketamine",10,"MG",206967,"GENERAL ANESTHETICS,OTHER","CN203"
"rocuronium",10,"MG",1242617,"NEUROMUSCULAR BLOCKING AGENTS","MS300"
"fentanyl",0.05,"MG",1735058,"OPIOID ANALGESICS","CN101"
"vancomycin",50,"MG",313572,"ANTI-INFECTIVES,OTHER","AM900"
"glucose",50,"MG",309778,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"ceftriaxone",1000,"MG",1665023,"CEPHALOSPORIN 3RD GENERATION","AM117"
"iron-dextran complex",50,"MG",206216,"IRON","TN410"
"nitroglycerin",0.2,"MG",312004,"ANTIANGINALS","CV250"
"6-aminocaproic acid",250,"MG",211395,NA,NA
"dexmedetomidine",0.004,"MG",1718907,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"norepinephrine",0.016,"MG",2475337,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"nicardipine",0.1,"MG",858601,"CALCIUM CHANNEL BLOCKERS","CV200"
"insulin, regular, human",100,"UNT",150974,"INSULIN","HS501"
"hydrochlorothiazide",12.5,"MG",429503,"THIAZIDES/RELATED DIURETICS","CV701"
"enalapril",5,"MG",858815,"ACE INHIBITORS","CV800"
"ephedrine",50,"MG",1796730,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"tobramycin",40,"MG",603086,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"furosemide",10,"MG",899155,"LOOP DIURETICS","CV702"
"hydrochlorothiazide",12.5,"MG",211759,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"remifentanil",1,"MG",1729581,"OPIOID ANALGESICS","CN101"
"BCG, live, Tice strain",50,"MG",213744,"ANTINEOPLASTIC,OTHER","AN900"
"amlodipine",10,"MG",212575,"CALCIUM CHANNEL BLOCKERS","CV200"
"benazepril",10,"MG",898689,"ACE INHIBITORS","CV800"
"cefazolin",200,"MG",313920,"CEPHALOSPORIN 1ST GENERATION","AM115"
"rituximab",10,"MG",1657864,"ANTINEOPLASTIC,OTHER","AN900"
"ferric carboxymaltose",50,"MG",1435174,"IRON","TN410"
"obinutuzumab",25,"MG",1442698,"ANTINEOPLASTIC,OTHER","AN900"
"nivolumab",10,"MG",1657192,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"belimumab",120,"MG",1656398,"IMMUNOLOGICAL AGENTS,OTHER","IM900"
"ephedrine",50,"MG",1870691,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"abatacept",250,"MG",616018,"ANTIRHEUMATICS,OTHER","MS190"
"betamethasone",3,"MG",578806,"GLUCOCORTICOIDS","HS051"
"triamcinolone",40,"MG",1086045,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"ropivacaine",2,"MG",1734356,"LOCAL ANESTHETICS,INJECTION","CN204"
