"rxnorm_cui","raw_rx_med_name"
1013042,"LIDOCAINE/METHYLPREDNISOLONE MIXTURE|LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN"
1358619,"LIDOCAINE/METHYLPREDNISOLONE MIXTURE|METHYLPREDNISOLONE ACETATE 80 MG/ML IJ SUSP"
208947,"HUGGINS CLINIC BLADDER IRRIGATION|HYDROCORTISONE SOD SUCC (PF) 100 MG/2 ML IJ SOLR"
1362831,"HUGGINS CLINIC BLADDER IRRIGATION|HEPARIN (PORCINE) 10,000 UNIT/ML IJ SOLN"
313002,"HUGGINS CLINIC BLADDER IRRIGATION|SODIUM CHLORIDE 0.9 % IJ SOLN"
1013096,"HUGGINS CLINIC BLADDER IRRIGATION|LIDOCAINE HCL 20 MG/ML (2 %) IJ SOLN"
1868486,"HUGGINS CLINIC BLADDER IRRIGATION|SODIUM BICARBONATE 1 MEQ/ML (8.4 %) IV SOLN"
313002,"IRON SUCROSE 300 MG IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1741268,"IRON SUCROSE IVPB - NON STD|IRON SUCROSE 100 MG IRON/5 ML IV SOLN"
1598999,"PROPOFOL 10 MG/ML IV EMUL 50 ML (INFUSION)(AM)(OR)|PROPOFOL 10 MG/ML IV EMUL"
313002,"IRON SUCROSE IVPB - NON STD|SODIUM CHLORIDE 0.9 % IV SOLP"
213361,"INFLIXIMAB IVPB|INFLIXIMAB 100 MG IV SOLR"
313002,"INFLIXIMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
313002,"PHENYLEPHRINE 40 MCG/ML IN NS IV DRIP (STD CONC)|SODIUM CHLORIDE 0.9 % IV SOLP"
1542385,"PHENYLEPHRINE 40 MCG/ML IN NS IV DRIP (STD CONC)|PHENYLEPHRINE HCL 10 MG/ML IJ SOLN"
201382,"LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25 MG TAB|LISINOPRIL 20 MG PO TAB"
207939,"LISINOPRIL-HYDROCHLOROTHIAZIDE 20-25 MG TAB|HYDROCHLOROTHIAZIDE 25 MG PO TAB"
313002,"PHENYLEPHRINE 80MCG/ML IN NS IV DRIP (DBL CONC)|SODIUM CHLORIDE 0.9 % IV SOLP"
1542385,"PHENYLEPHRINE 80MCG/ML IN NS IV DRIP (DBL CONC)|PHENYLEPHRINE HCL 10 MG/ML IJ SOLN"
5666,"IMMUNE GLOBULIN (GAMUNEX) IV INFUSION|IMMUNE GLOBULIN(HUM),CAPR(IGG) 10 % IV SOLN"
11377,"RXAMB BUDESONIDE 1.2 MG CAPSULE (BATCHED COMPOUND)|XYLITOL (BULK) MISC POWD"
19831,"RXAMB BUDESONIDE 1.2 MG CAPSULE (BATCHED COMPOUND)|BUDESONIDE, MICRONIZED (BULK) 100 % MISC POWD"
155156,"RXAMB BUDESONIDE 1.2 MG CAPSULE (BATCHED COMPOUND)|POLOXAMER (BULK) MISC POWD"
206967,"KETAMINE 10 MG/ML IJ SOLN (INFUSION)(AM)(OR)|KETAMINE 10 MG/ML IJ SOLN"
1242617,"ROCURONIUM 10 MG/ML IV SOLN (INFUSION)(AM)(OR)|ROCURONIUM 10 MG/ML IV SOLN"
1735058,"FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN (INFUSION)(AM)(OR)|FENTANYL CITRATE (PF) 50 MCG/ML IJ SOLN"
313002,"IRON DEXTRAN IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1013042,"CEFTRIAXONE/LIDOCAINE IM 1G VIAL MIXTURE|LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN"
313572,"VANCOMYCIN 1G/250ML D5W IVPB (VIAL2BAG)|VANCOMYCIN 1,000 MG IV SOLR"
309778,"VANCOMYCIN 1G/250ML D5W IVPB (VIAL2BAG)|DEXTROSE 5% IN WATER IV SOLP"
1665023,"CEFTRIAXONE/LIDOCAINE IM 1G VIAL MIXTURE|CEFTRIAXONE 1 GRAM IJ SOLR"
206216,"IRON DEXTRAN IVPB|IRON DEXTRAN 50 MG/ML IJ SOLN"
313002,"INSULIN 100UNITS NS 100ML|SODIUM CHLORIDE 0.9 % IV SOLP"
312004,"NITROGLYCERIN IN 5 % DEXTROSE 50 MG/250 ML (200 MCG/ML) IV SOLN (INFUSION)(AM)(OR)|NITROGLYCERIN IN 5 % DEXTROSE 50 MG/250 ML (200 MCG/ML) IV SOLN"
211395,"AMINOCAPROIC ACID 12.5 GM INFUSION (OR)|AMINOCAPROIC ACID 250 MG/ML IV SOLN"
1718907,"DEXMEDETOMIDINE 4 MCG/ML (INFUSION)(AM)(OR)|DEXMEDETOMIDINE IN 0.9 % NACL 200 MCG/50 ML (4 MCG/ML) IV SOLN"
2475337,"NOREPINEPHRINE IV DRIP STD CONC (AM)(OR)|NOREPINEPHRINE BITARTRATE-NACL 4 MG/250 ML (16 MCG/ML) IV SOLN"
858601,"NICARDIPINE IN NACL (ISO-OS) 20 MG/200 ML IV PGBK (INFUSION)(AM)(OR)|NICARDIPINE IN NACL (ISO-OS) 20 MG/200 ML (0.1 MG/ML) IV PGBK"
150974,"INSULIN 100UNITS NS 100ML|INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN"
313002,"AMINOCAPROIC ACID 12.5 GM INFUSION (OR)|SODIUM CHLORIDE 0.9 % IV SOLP"
429503,"ENALAPRIL-HYDROCHLOROTHIAZIDE 5-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO TAB"
858815,"ENALAPRIL-HYDROCHLOROTHIAZIDE 5-12.5 MG TAB|ENALAPRIL MALEATE 5 MG PO TAB"
313002,"EPHEDRINE SULFATE 50 MG/5ML SYR (10 MG/ML) (AN)(OSM)|SODIUM CHLORIDE 0.9 % IJ SOLN"
1796730,"EPHEDRINE SULFATE 50 MG/5ML SYR (10 MG/ML) (AN)(OSM)|EPHEDRINE SULFATE 50 MG/ML IJ SOLN"
603086,"RXAMB TOBRAMYCIN 14 MG/ML FORTIFIED OPHTHALMIC SOLUTION (COMPOUND)|TOBRAMYCIN SULFATE 40 MG/ML IJ SOLN"
899155,"FUROSEMIDE IV DRIP SYR (MAX CONC)|FUROSEMIDE 10 MG/ML IJ SOLN"
211759,"LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5 MG TAB|HYDROCHLOROTHIAZIDE 12.5 MG PO CAP"
201382,"LISINOPRIL-HYDROCHLOROTHIAZIDE 20-12.5 MG TAB|LISINOPRIL 20 MG PO TAB"
313002,"VANCOMYCIN IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1729581,"REMIFENTANYL 1000MCG IN NS 20ML (OR)|REMIFENTANIL 1 MG IV SOLR"
313002,"REMIFENTANYL 1000MCG IN NS 20ML (OR)|SODIUM CHLORIDE 0.9 % IV SOLP"
313572,"VANCOMYCIN IVPB|VANCOMYCIN 5 GRAM IV SOLR"
213744,"BCG VACCINE (LIVE) BLADDER IRRIGATION SYR|BCG LIVE 50 MG IS SUSR"
212575,"AMLODIPINE-BENAZEPRIL 10-20 MG TAB|AMLODIPINE 10 MG PO TAB"
898689,"AMLODIPINE-BENAZEPRIL 10-20 MG TAB|BENAZEPRIL 10 MG PO TAB"
309778,"CEFAZOLIN IVPB|DEXTROSE 5% IN WATER IV SOLP"
313920,"CEFAZOLIN IVPB|CEFAZOLIN 10 GRAM IJ SOLR"
313002,"RITUXIMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1657864,"RITUXIMAB IVPB|RITUXIMAB 10 MG/ML IV CONC"
313002,"BCG VACCINE (LIVE) BLADDER IRRIGATION SYR|SODIUM CHLORIDE 0.9 % IJ SOLN"
7243,"RXAMB NALTREXONE 1.5 MG ORAL CAPSULE (BATCHED COMPOUND)|NALTREXONE HCL (BULK) 100 % MISC POWD"
2221,"RXAMB NALTREXONE 1.5 MG ORAL CAPSULE (BATCHED COMPOUND)|CELLULOSE (BULK) MISC POWD"
1435174,"FERRIC CARBOXYMALTOSE IVPB|FERRIC CARBOXYMALTOSE 50 MG IRON/ML IV SOLN"
313002,"FERRIC CARBOXYMALTOSE IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1309389,"RXAMB AMITR-GABAPEN-EMU OIL 4-4-10% TOPICAL CREAM (COMPOUND)|EMU OIL (BULK) 100 % MISC LIQD"
25480,"RXAMB AMITR-GABAPEN-EMU OIL 4-4-10% TOPICAL CREAM (COMPOUND)|GABAPENTIN (BULK) 100 % MISC POWD"
704,"RXAMB AMITR-GABAPEN-EMU OIL 4-4-10% TOPICAL CREAM (COMPOUND)|AMITRIPTYLINE (BULK) MISC POWD"
1442698,"OBINUTUZUMAB 1000MG IVPB (MAINT DOSE)|OBINUTUZUMAB 1,000 MG/40 ML IV SOLN"
313002,"OBINUTUZUMAB 1000MG IVPB (MAINT DOSE)|SODIUM CHLORIDE 0.9 % IV SOLP"
1657192,"NIVOLUMAB 100ML IVPB|NIVOLUMAB 40 MG/4 ML IV SOLN"
313002,"NIVOLUMAB 100ML IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1656398,"BELIMUMAB IVPB|BELIMUMAB 120 MG/1.5 ML IV (RECON SOLN)"
313002,"BELIMUMAB IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
1870691,"EPHEDRINE SULFATE 50 MG/5ML SYR (10 MG/ML) (AN)(OSM)|EPHEDRINE SULFATE 50 MG/ML IV SOLN"
1598999,"PROPOFOL 10 MG/ML IV EMUL 100 ML (INFUSION)(AM)(OR)|PROPOFOL 10 MG/ML IV EMUL"
616018,"ABATACEPT IVPB|ABATACEPT (WITH MALTOSE) 250 MG/10 ML IV (RECON SOLN)"
313002,"ABATACEPT IVPB|SODIUM CHLORIDE 0.9 % IV SOLP"
578806,"BETAMETHASONE/BUPIVACAINE INJ MIXTURE AMB|BETAMETHASONE ACET,SOD PHOS 6 MG/ML IJ SUSP"
1086045,"TRIAMCINOLONE/ROPIVACAINE/LIDOCAINE MIXTURE AMB|TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP"
1734356,"TRIAMCINOLONE/ROPIVACAINE/LIDOCAINE MIXTURE AMB|ROPIVACAINE (PF) 2 MG/ML (0.2 %) IJ SOLN"
1013042,"TRIAMCINOLONE/ROPIVACAINE/LIDOCAINE MIXTURE AMB|LIDOCAINE (PF) 10 MG/ML (1 %) IJ SOLN"
152923,"EZETIMIBE-SIMVASTATIN 10-80 MG TAB|SIMVASTATIN 40 MG PO TAB"
352304,"EZETIMIBE-SIMVASTATIN 10-80 MG TAB|EZETIMIBE 10 MG PO TAB"
