ID,Test,Intercept,Age,RMSE
T01,MoCA Blind Total Raw Score Uncorrected,,,
T02,Rey Auditory Verbal Learning - Immediate Trial 1 - Total Recall,,,
T03,Rey Auditory Verbal Learning - Immediate Trial 2 - Total Recall,,,
T04,Rey Auditory Verbal Learning - Immediate Trial 3 - Total Recall,,,
T05,Rey Auditory Verbal Learning - Immediate Trial 4 - Total Recall,,,
T06,Rey Auditory Verbal Learning - Immediate Trial 5 - Total Recall,,,
T07,Sum of Rey Auditory Verbal Learning - Immediate Trials 1-5 Total Recall,,,
T08,Number Span Test: Forward Number of Correct Trials,10.149,-0.026,2.303579
T09,Number Span Test: Backward Number of Correct Trials,9.761,-0.036,2.215681
T10,Oral Trail Making Test Part A Total number of seconds,,,
T11,Oral Trail Making Test Part B Total number of seconds,,,
T12,Category Fluency: Animals,32.165,-0.15,5.466179
T13,Category Fluency: Vegetables,21.135,-0.083,4.245845
T14,Sum of Category Fluency: Animals and Vegetables,,,
T15,Verbal Fluency: Phonemic Test Number of Correct F-words,18.915,-0.053,4.673155
T16,Verbal Fluency: Phonemic Test Number of Correct L-words,18.169,-0.055,4.429327
T17,Verbal Fluency: Phonemic Test Total Number of Correct F-words and L-words,,,
T18,Rey Auditory Verbal Learning - Delayed Recall and Recognition Total Delayed Recall,,,
T19,Rey Auditory Verbal Learning - Delayed Recall and Recognition Recognition Total Correct,,,
T20,Verbal Naming Test Total Correct without a Cue,,,
,,,,
T_comp,,,,
