"y","domain","topic","var","coef","coef_lower","coef_upper","p_value","OR","OR_lower","OR_upper"
"T01","Social context","Demographics","AGE",-0.0542116863206263,-0.0836038724224964,-0.0267832228773294,0,0.947231569311369,0.919795540318033,0.973572266845498
"T01","Social context","Demographics","SEX_FAC2",0.693261780635846,0.289362853673834,0.909685381505146,0,2.00022921328548,1.33557625936869,2.48354104251082
"T01","Social context","Demographics","BSBP_GROUPbsbp1",0,-0.106087917473255,0.242999147495471,0.71,1,0.899345576409423,1.27506753711715
"T01","Social context","Demographics","BSBP_GROUPbsbp2",0,-0.491805616197094,0.0207080619663912,0.51,1,0.611521224101072,1.02092396159392
"T01","Social context","Demographics","RACE_FAC3",-1.23638622590889,-1.82898023553057,-0.448722317935321,0,0.290431878993252,0.160577235268969,0.638443358351643
"T01","Social context","Demographics","BSBP_GROUPbsbp3",0,-0.357694175223935,0.257444021013752,0.78,1,0.699286901568206,1.29361939345117
"T01","Social context","Demographics","ETHN_FAC1",-2.11863816121962,-3.5624306268663,-0.669824580374604,0,0.1201952035942,0.0283697844823,0.51179834938719
"T01","Social context","Demographics","RACE_FAC2",-1.48513039833564,-2.67978623287187,0,0.1,0.226472807073834,0.0685778122694928,1
"T01","Social context","Demographics","RACE_FAC1",-0.840627947672935,-1.96793371376713,0,0.36,0.431439516908373,0.139745311910513,1
"T01","Social context","Demographics","ETHN_FAC0",0,-0.319498794625198,0.284799092858811,0.86,1,0.726513078096017,1.32949489626919
"T01","Social context","Demographics","RACE_FAC0",0,-0.955524410866723,0,0.59,1,0.38461039778645,1
"T01","Social context","Demographics","SITEUtah",0.946791895912405,0.623980867356699,1.1983839192622,0,2.57742772534466,1.86634293687119,3.31475567899867
"T01","Social context","Demographics","RACE_FAC6",0,0,0.741092356971205,0.88,1,1,2.09822627520125
"T01","Social context","Demographics","ACS_AVG_HH_SIZE",0,0,0.0729999880804078,0.94,1,1,1.07573052409243
"T01","Social context","Demographics","ACS_MEDIAN_AGE",0,0,0.00372079057733512,0.95,1,1,1.00372772131187
"T01","Social context","Demographics","ACS_MEDIAN_AGE_FEMALE",0,0,0,0.99,1,1,1
"T01","Social context","Demographics","ACS_MEDIAN_AGE_MALE",0.0240520626865787,0,0.034877083938383,0.19,1.02434364658461,1,1.03549242232662
"T01","Social context","Demographics","ACS_PCT_AGE_0_17",0,0,0,0.98,1,1,1
"T01","Social context","Demographics","ACS_PCT_AGE_0_4",-0.0120642154031218,-0.0890168235828014,0,0.4,0.988008265475747,0.914830182723659,1
"T01","Social context","Demographics","ACS_PCT_AGE_10_14",0,0,0.0176623478281027,0.87,1,1,1.0178192494828
"T01","Social context","Demographics","ACS_PCT_AGE_15_17",0,-0.0569906770164547,0,0.64,1,0.94460287584254,1
"T01","Social context","Demographics","ACS_PCT_AGE_18_29",0,-0.00885125847909033,0,0.89,1,0.991187798589557,1
"T01","Social context","Demographics","ACS_PCT_AGE_18_44",0,-0.00158960172999362,0,0.93,1,0.998411661017659,1
"T01","Social context","Demographics","ACS_PCT_AGE_30_44",0,-0.0199330964060013,0,0.7,1,0.98026425431461,1
"T01","Social context","Demographics","ACS_PCT_AGE_45_64",0,0,0.0162572263894853,0.8,1,1,1.01639009413827
"T01","Social context","Demographics","ACS_PCT_AGE_5_9",0,-0.0127834735375785,0.0155306288036087,0.88,1,0.987297887996909,1.01565185578314
"T01","Social context","Demographics","ACS_PCT_AGE_50_64",0,0,0.00622161640220789,0.91,1,1,1.0062410108583
"T01","Social context","Demographics","ACS_PCT_AGE_ABOVE65",0,0,0.0262688102317631,0.8,1,1,1.02661687650615
"T01","Social context","Demographics","ACS_PCT_AGE_ABOVE80",0,0,0.0248897550495399,0.89,1,1,1.02520209094035
"T01","Social context","Demographics","ACS_PCT_AIAN",0,0,0.089802450437507,0.8,1,1,1.0939581514033
"T01","Social context","Demographics","ACS_PCT_AIAN_COMB",0,-0.0137802760862317,0.0642274143089327,0.74,1,0.986314237280092,1.06633487099741
"T01","Social context","Demographics","ACS_PCT_AIAN_NONHISP",0,0,0,0.96,1,1,1
"T01","Social context","Demographics","ACS_PCT_API_LANG",0,0,0.0365256597987406,0.85,1,1,1.0372009180431
"T01","Social context","Demographics","ACS_PCT_ASIAN",0,0,0.00520435324914444,0.97,1,1,1.00521791941969
"T01","Social context","Demographics","ACS_PCT_ASIAN_COMB",0.00514267833437369,0,0.0239504673324971,0.58,1.00515592460196,1,1.0242395833154
"T01","Social context","Demographics","ACS_PCT_ASIAN_FEMALE",0,-0.00408891828296399,0.000534132956828847,0.6,1,0.995919429961093,1.00053427563124
"T01","Social context","Demographics","ACS_PCT_ASIAN_MALE",0,-3.48719380401595e-06,4.40823530392345e-07,0.87,1,0.999996512812276,1.00000044082363
"T01","Social context","Demographics","ACS_PCT_ASIAN_NONHISP",0,0,0,1,1,1,1
"T01","Social context","Demographics","ACS_PCT_BLACK",0,0,0,0.99,1,1,1
"T01","Social context","Demographics","ACS_PCT_BLACK_COMB",0,-0.0041170417614589,0,0.92,1,0.99589142163627,1
"T01","Social context","Demographics","ACS_PCT_BLACK_FEMALE",0,-0.00151004211299997,0.0010602451449811,0.82,1,0.998491097426935,1.00106080740356
"T01","Social context","Demographics","ACS_PCT_BLACK_MALE",0,-8.57345265527219e-07,6.66780444298799e-17,0.9,1,0.999999142655102,1
"T01","Social context","Demographics","ACS_PCT_BLACK_NONHISP",0,0,0,0.98,1,1,1
"T01","Social context","Demographics","ACS_PCT_DIVORCED_F",0,-0.0107094069747599,0.00465646098149354,0.83,1,0.989347734558223,1.00466731914292
"T01","Social context","Demographics","ACS_PCT_DIVORCED_M",0,-0.0150462911330476,0.00723999090617006,0.77,1,0.985066338710666,1.00726626300531
"T01","Social context","Demographics","ACS_PCT_ENGL_NOT_ALL",0,-0.0197800172981151,0.105178733205072,0.8,1,0.98041432377811,1.11090914896519
"T01","Social context","Demographics","ACS_PCT_ENGL_NOT_WELL",0,-0.0612310912385863,0,0.65,1,0.940605848887771,1
"T01","Social context","Demographics","ACS_PCT_ENGL_VERY_WELL",0,-0.00555671764753261,0,0.96,1,0.994458692351757,1
"T01","Social context","Demographics","ACS_PCT_ENGL_WELL",0,-0.0266608482410395,0,0.85,1,0.973691414687743,1
"T01","Social context","Demographics","ACS_PCT_ENGLISH",0,0,0,0.99,1,1,1
"T01","Social context","Demographics","ACS_PCT_FEMALE",0,0,0.040136540473301,0.55,1,1,1.04095289669063
"T01","Social context","Demographics","ACS_PCT_GULFWAR_1990_2001",-0.00577102276772041,-0.0179241720888275,0,0.1,0.994245597596635,0.982235510401541,1
"T01","Social context","Demographics","ACS_PCT_GULFWAR_2001",0,0,0.00636977863026752,0.87,1,1,1.0063901088135
"T01","Social context","Demographics","ACS_PCT_GULFWAR_VIETNAM",-0.00473948594891196,-0.0145144967803167,0,0.3,0.995271727691992,0.985590330742311,1
"T01","Social context","Demographics","ACS_PCT_HH_LIMIT_ENGLISH",-0.0328790861300297,-0.0867253809595259,0,0.31,0.967655555493689,0.916928867186629,1
"T01","Social context","Demographics","ACS_PCT_HISP_FEMALE",0,-0.00374972938940463,0.00264159480273128,0.79,1,0.996257292066913,1.0026450868885
"T01","Social context","Demographics","ACS_PCT_HISP_MALE",0,0,1.36123981807702e-05,0.87,1,1,1.00001361249083
"T01","Social context","Demographics","ACS_PCT_HISPANIC",-0.000971668989236222,-0.0184764403945143,0,0.63,0.999028802928214,0.981693202623909,1
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_AIAN",0,0,0.131514473511054,0.78,1,1,1.14055441542985
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_ASIAN",0,0,0.0202558204518787,0.82,1,1,1.0204623617805
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_BLACK",0,-0.0179899540986428,0,0.62,1,0.982170899100709,1
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_MULT",0,-0.0147309914085642,0.0146867057000653,0.83,1,0.985376978825658,1.01479508529194
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_NHPI",0,-0.0184609207444094,0,0.93,1,0.981708438277149,1
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_OTHER",0,0,0.0210054268991682,0.85,1,1,1.02122759372167
"T01","Social context","Demographics","ACS_PCT_HOUSEHOLDER_WHITE",0,0,0,0.99,1,1,1
"T01","Social context","Demographics","ACS_PCT_MALE",0,-0.00289776195212599,0,0.63,1,0.997106432507546,1
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_AB_F",0,-0.0461024856229329,0,0.63,1,0.954944089135669,1
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_AB_M",0,-0.0369201422564718,0.00195583541424293,0.7,1,0.963753095423602,1.00195774930788
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_PR_F",0,-0.00152279499569967,0,0.97,1,0.998478363868288,1
"T01","Social context","Demographics","ACS_PCT_MARRIED_SP_PR_M",0,0,0.00122729050871823,0.97,1,1,1.00122804393791
"T01","Social context","Demographics","ACS_PCT_MULT_RACE",0,-0.01357117878775,0.025311997940263,0.84,1,0.986520494485722,1.02563506663882
"T01","Social context","Demographics","ACS_PCT_MULT_RACE_FEMALE",0,-0.00634064109861645,0,0.56,1,0.99367941834718,1
"T01","Social context","Demographics","ACS_PCT_MULT_RACE_MALE",0,0,7.10780389356052e-06,0.77,1,1,1.00000710782915
